순위	제목	저자	출판사	출간일	판매가	정가	할인율	링크	이미지
247	게임으로 철학하기	주자안	현암사	2026년 05월	20,700	23,000	10.0	https://www.yes24.com/product/goods/189335830	https://image.yes24.com/goods/189335830/L
248	일 잘하는 직장인	일머리스쿨 (송경이,  유진희)	이지스퍼블리싱	2025년 11월	16,200	18,000	10.0	https://www.yes24.com/product/goods/160153189	https://image.yes24.com/goods/160153189/L
249	생성형 AI를 위한 프롬프트 엔지니어링	제임스 피닉스	한빛미디어	2025년 06월	34,200	38,000	10.0	https://www.yes24.com/product/goods/147735087	https://image.yes24.com/goods/147735087/L
250	AI와 라이프 아크	노유진	커뮤니케이션북스	2026년 07월	12,000	12,000	nan	https://www.yes24.com/product/goods/193448340	https://image.yes24.com/goods/193448340/L
251	그로스 IQ, 비즈니스 성장 바이블	티파니 보바	골든래빗	2026년 07월	25,200	28,000	10.0	https://www.yes24.com/product/goods/193350963	https://image.yes24.com/goods/193350963/L
252	생성형 AI로 완성하는 회계 · 세무실무	박현준	도서출판배움	2026년 04월	10,800	12,000	10.0	https://www.yes24.com/product/goods/193183459	https://image.yes24.com/goods/193183459/L
253	AWS 교과서	서종호	길벗	2026년 07월	34,200	38,000	10.0	https://www.yes24.com/product/goods/192731324	https://image.yes24.com/goods/192731324/L
254	내 AI 천재로 키우는 법 1	이태종	이태종NIE논술연구소	2026년 07월	22,500	25,000	10.0	https://www.yes24.com/product/goods/192687429	https://image.yes24.com/goods/192687429/L
255	AI를 활용한 실내디자인 프레젠테이션 스킬	박남용	피앤피북	2026년 07월	20,700	23,000	10.0	https://www.yes24.com/product/goods/192579676	https://image.yes24.com/goods/192579676/L
256	회사에서 바로 통하는 오토캐드 AutoCAD 2027	심미현	한빛미디어	2026년 06월	26,100	29,000	10.0	https://www.yes24.com/product/goods/192302542	https://image.yes24.com/goods/192302542/L
257	프롬프트 해부학	박민지	루비페이퍼	2026년 06월	25,200	28,000	10.0	https://www.yes24.com/product/goods/192139754	https://image.yes24.com/goods/192139754/L
258	준비 끝 다음 수업 AI 에듀테크	노희경	비제이퍼블릭(BJ퍼블릭)	2026년 06월	24,750	27,500	10.0	https://www.yes24.com/product/goods/191852111	https://image.yes24.com/goods/191852111/L
259	이것이 멀티 에이전트다	서지영	한빛미디어	2026년 06월	31,500	35,000	10.0	https://www.yes24.com/product/goods/190213684	https://image.yes24.com/goods/190213684/L
260	유튜브 AI 비서 고용하기 제미나이 X 노트북LM X 구글 스프레드시트	조현정	골든래빗	2026년 06월	21,600	24,000	10.0	https://www.yes24.com/product/goods/189823964	https://image.yes24.com/goods/189823964/L
